,Video Name,VideoEnglishText
0,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","How does something become acidic? In this video you will learn what are acids, and what is that strange pH scale."
1,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Acids are substances that have a sour taste, such as citric acid, which is in lemons, and vinegar, which is called sour wine in French. There are many other natural acids as well, such as the lactic acid in sour milk and the poisonous oxalic acid present in the revelry plant."
2,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Two hundred and fifty years ago, early chemists discovered that non-metals form acids on burning. That's why he named the gas present in the air as oxygen, which means 'acid maker'. The burning of sulfur i.e. sulfur produces sulfur dioxide gas, which dissolves in water to form sulfurous acid."
3,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Carbonic acid is formed from carbon dioxide, which makes rain water always mildly acidic. Nitrogen dioxide dissolves in water to form nitric acid. But oxygen combines with reactive metals to form alkalis."
4,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","In this way, oxygen forms not only acids but also bases. In water, acids attach a hydrogen ion, or proton, to the water atom, forming the hydronium ion H3O+. For example, hydrochloric acid forms chloride ions and hydronium ions."
5,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Acetate ion from acetic acid. Sulfate ion from sulfuric acid. The amount of acidity can be measured on the pH scale. Which measures the concentration of hydronium or hydrogen ion. The small p is the power, and the capital H is the hydrogen ion."
6,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Acids can change the color of the indicators. Try making your own pointer, from red cabbage leaves, or the sap of colorful plants. Add lemon juice and then lime, and watch as the color gradually changes from green to blue as the acid neutralizes."
7,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","The most famous indicator is litmus, which is extracted from lichens, ie algae. Indicators turn red when exposed to acidic solutions, and blue in alkaline. Indicators indicating the acidity of different substances are made by mixing different colors i.e. dyes. The amount of acidity is measured on the pH scale - the pH of the strongest acid is assumed to be zero. Meaning the lower the pH, the more powerful the acid. As the pH increases, the acidity decreases. Any neutral solution has a pH of 7 and above that, the solution is considered alkaline. The pH of the strongest base is 14."
8,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","The pH scale is logarithmic. Meaning that a change of 1 point in pH represents a 10-fold change in acidity. See this example to understand its logarithmic property. You've collected a bucket of acid rain water with a pH of 4, and you want to lower its acidity to add it to the garden."
9,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","To change the pH from 4 to 5, how much neutral water do you have to add? Stop the video and think."
10,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","The answer is, it would take 9 buckets of neutral water to change the pH by just 1 point, because a 1 point change in pH represents a tenfold change in acidity."
11,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Simply put, most acids are naturally present, which dissolve in water and have a sour taste. Warning! Taste only foods. Acids also form when oxides of nonmetals, such as sulfur dioxide, dissolve in water."
12,"What Makes Something Acidic? | Acids, Bases & Alkali's | Chemistry | FuseSchool","Many types of indicators are found, which help us to find out the acidity of a substance. And the strength of acidity is measured in the pH scale, which is logarithmic."
13,The Ozone Layer - Part 1 | Environmental Chemistry | Chemistry | FuseSchool,"In this video we will learn about the two major layers of our atmosphere - the troposphere, which contains weather fluctuations and 'bad' ozone, and the stratosphere, whose 'good' ozone gives us the dangerous ultraviolet rays. protects from."
14,The Ozone Layer - Part 1 | Environmental Chemistry | Chemistry | FuseSchool,"Our atmosphere is made up of gases - mainly nitrogen and oxygen. These gases are bound to the earth due to gravity, like an ocean of air. Because air is compressible, that is, it can be compressed, so the air becomes less dense as it moves away from the ground. It is believed that 99% of our atmosphere is within the first 50 kilometers."
